;"Propriété"
"LGLex";"table";"C_31i";"C_a1";"C_a12";"C_a1p2";"C_a1pn";"C_anp2";"C_c0";"C_c0e";"C_c0q";"C_c1d";"C_c1dpn";"C_c1g";"C_c1gpn";"C_c1i";"C_c1ipn";"C_c1p2";"C_c1r";"C_c1rpn";"C_c5";"C_c5c1";"C_c6";"C_c7";"C_c8";"C_cadv";"C_can";"C_cdn";"C_cff";"C_cnp2";"C_cp1";"C_cpn";"C_cpp";"C_cppn";"C_cppq";"C_cpq";"C_cv";"C_e01";"C_e0p1";"C_e1";"C_e1hc";"C_e1pn";"C_eapc";"C_ec0";"C_edn";"C_enpc";"C_epa";"C_epac";"C_epc";"C_epca";"C_epcdc";"C_epcdn";"C_epcpc";"C_epcpn";"C_epcpq";"C_epdetc";"C_fc";"C_fca";"C_fcan";"C_fcana";"C_fcann";"C_fcn";"C_fcpn";"C_fcpna";"C_fcpnn";"C_ya";"C_z5d";"C_z5p";"C_z1";"C_zs";"C_zd";"C_zp";"C_zm";"C_z";"C_zcdn";"C_ztcdn";"C_zmc";"C_zmac";"C_zmca";"C_zmcdc";"C_zc";"C_zac";"C_zca";"C_zcdc";"C_ztc";"C_ztac";"C_ztca";"C_ztcd"
"E";"<ENT>C2";"/";"/";"/";"o";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"o";"/";"/";"o";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>C3";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Cc";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"o";"/";"/";"o";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"o";"/";"/";"/";"o"
"E";"<ENT>Cv";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Conj";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Conj-2";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Det0";"/";"/";"/";"/";"/";"/";"o";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Det0-2";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Det1";"/";"o";"o";"o";"o";"/";"o";"o";"o";"o";"o";"/";"/";"o";"o";"o";"o";"o";"o";"o";"/";"o";"o";"/";"o";"o";"o";"/";"o";"o";"o";"o";"o";"o";"o";"/";"o";"o";"o";"o";"/";"o";"o";"o";"/";"o";"/";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o"
"E";"<ENT>Det1-2";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Det2";"/";"/";"/";"o";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"o";"/";"/";"o";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Det3";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Detc";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"o";"/";"/";"o";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"o";"/";"/";"/";"o"
"E";"<ENT>Il";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Modif";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Poss1";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Ppv";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Prép0";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Prép1";"/";"/";"/";"/";"/";"/";"o";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"o";"o";"o";"o";"o";"/";"o";"/";"/";"/";"/";"o";"/";"/";"/";"o";"o";"o";"o";"o";"o";"o";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o"
"E";"<ENT>Prép2";"/";"/";"/";"o";"o";"o";"o";"o";"o";"/";"o";"/";"o";"/";"o";"o";"/";"o";"/";"/";"o";"/";"/";"/";"/";"/";"/";"o";"/";"/";"o";"o";"o";"o";"/";"/";"/";"/";"/";"o";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"o";"/";"/";"/";"/";"/";"/";"/";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"/";"/";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Prép3";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>PrépDetv";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>Prépc";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"o";"/";"/";"o";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"o";"/";"/";"/";"o"
"E";"<ENT>V";"o";"/";"/";"/";"/";"/";"o";"/";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>V-2";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>V2";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ENT>ce";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"?";"<ENT>est";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"E";"<ID>";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o"
"E";"Adj1 permut obl";"/";"/";"-";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"-";"/";"/";"/";"/";"-";"/";"/";"/";"-";"+";"/";"o";"/";"/";"/";"/";"/";"/";"/";"o";"/";"o";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"?";"Adv1-Adj accord";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"?";"C0 =: C0 de Nhum";"?";"/";"/";"/";"/";"/";"o";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"?";"C0 =: Npc";"?";"/";"/";"/";"/";"/";"o";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"DC0";"C0 =: il";"o";"/";"/";"/";"/";"/";"?";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"DC0";"C0 =: ça";"+";"/";"/";"/";"/";"/";"?";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"C";"C0 V W";"++";"/";"/";"/";"/";"/";"?";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
